Bloque,IPs Muestra,Resultado,zen.spamhaus.org,Total Listas
185.220.109.0/24,185.220.109.1| 185.220.109.187| 185.220.109.230| 185.220.109.104| 185.220.109.183| 185.220.109.247| 185.220.109.227| 185.220.109.238| 185.220.109.77| 185.220.109.58| 185.220.109.213| 185.220.109.245| 185.220.109.240| 185.220.109.71| 185.220.109.254,LIMPIO,,0
185.220.110.0/24,185.220.110.1| 185.220.110.169| 185.220.110.28| 185.220.110.40| 185.220.110.242| 185.220.110.224| 185.220.110.71| 185.220.110.11| 185.220.110.194| 185.220.110.193| 185.220.110.79| 185.220.110.229| 185.220.110.237| 185.220.110.187| 185.220.110.254,LIMPIO,,0
185.220.111.0/24,185.220.111.1| 185.220.111.43| 185.220.111.13| 185.220.111.17| 185.220.111.118| 185.220.111.98| 185.220.111.161| 185.220.111.222| 185.220.111.219| 185.220.111.165| 185.220.111.156| 185.220.111.150| 185.220.111.28| 185.220.111.30| 185.220.111.254,LIMPIO,,0
185.220.112.0/24,185.220.112.1| 185.220.112.24| 185.220.112.96| 185.220.112.199| 185.220.112.217| 185.220.112.133| 185.220.112.209| 185.220.112.134| 185.220.112.120| 185.220.112.33| 185.220.112.196| 185.220.112.29| 185.220.112.236| 185.220.112.54| 185.220.112.254,BLOQUEO,,15
185.220.113.0/24,185.220.113.1| 185.220.113.86| 185.220.113.178| 185.220.113.239| 185.220.113.249| 185.220.113.231| 185.220.113.117| 185.220.113.152| 185.220.113.194| 185.220.113.15| 185.220.113.145| 185.220.113.35| 185.220.113.251| 185.220.113.207| 185.220.113.254,BLOQUEO,,15
185.220.114.0/24,185.220.114.1| 185.220.114.38| 185.220.114.132| 185.220.114.69| 185.220.114.55| 185.220.114.193| 185.220.114.160| 185.220.114.16| 185.220.114.148| 185.220.114.247| 185.220.114.122| 185.220.114.221| 185.220.114.134| 185.220.114.45| 185.220.114.254,BLOQUEO,,15
185.220.115.0/24,185.220.115.1| 185.220.115.53| 185.220.115.44| 185.220.115.93| 185.220.115.78| 185.220.115.50| 185.220.115.209| 185.220.115.62| 185.220.115.38| 185.220.115.89| 185.220.115.233| 185.220.115.148| 185.220.115.212| 185.220.115.179| 185.220.115.254,BLOQUEO,,15
185.220.116.0/24,185.220.116.1| 185.220.116.106| 185.220.116.204| 185.220.116.75| 185.220.116.240| 185.220.116.148| 185.220.116.176| 185.220.116.202| 185.220.116.123| 185.220.116.173| 185.220.116.201| 185.220.116.98| 185.220.116.116| 185.220.116.16| 185.220.116.254,LIMPIO,,0
185.220.117.0/24,185.220.117.1| 185.220.117.190| 185.220.117.110| 185.220.117.47| 185.220.117.157| 185.220.117.28| 185.220.117.218| 185.220.117.132| 185.220.117.192| 185.220.117.170| 185.220.117.211| 185.220.117.245| 185.220.117.216| 185.220.117.64| 185.220.117.254,LIMPIO,,0
185.220.118.0/24,185.220.118.1| 185.220.118.233| 185.220.118.69| 185.220.118.113| 185.220.118.58| 185.220.118.162| 185.220.118.72| 185.220.118.215| 185.220.118.195| 185.220.118.217| 185.220.118.117| 185.220.118.47| 185.220.118.219| 185.220.118.91| 185.220.118.254,LIMPIO,,0
185.220.119.0/24,185.220.119.1| 185.220.119.15| 185.220.119.107| 185.220.119.63| 185.220.119.112| 185.220.119.194| 185.220.119.7| 185.220.119.61| 185.220.119.124| 185.220.119.80| 185.220.119.59| 185.220.119.233| 185.220.119.36| 185.220.119.199| 185.220.119.254,LIMPIO,,0
185.220.120.0/24,185.220.120.1| 185.220.120.153| 185.220.120.178| 185.220.120.7| 185.220.120.88| 185.220.120.196| 185.220.120.82| 185.220.120.213| 185.220.120.14| 185.220.120.202| 185.220.120.138| 185.220.120.162| 185.220.120.183| 185.220.120.104| 185.220.120.254,LIMPIO,,0
185.220.121.0/24,185.220.121.1| 185.220.121.221| 185.220.121.55| 185.220.121.216| 185.220.121.144| 185.220.121.107| 185.220.121.73| 185.220.121.40| 185.220.121.187| 185.220.121.137| 185.220.121.44| 185.220.121.129| 185.220.121.52| 185.220.121.66| 185.220.121.254,LIMPIO,,0
185.220.122.0/24,185.220.122.1| 185.220.122.253| 185.220.122.127| 185.220.122.106| 185.220.122.138| 185.220.122.170| 185.220.122.15| 185.220.122.210| 185.220.122.251| 185.220.122.144| 185.220.122.192| 185.220.122.162| 185.220.122.32| 185.220.122.108| 185.220.122.254,LIMPIO,,0
185.220.123.0/24,185.220.123.1| 185.220.123.106| 185.220.123.247| 185.220.123.209| 185.220.123.193| 185.220.123.118| 185.220.123.140| 185.220.123.27| 185.220.123.171| 185.220.123.251| 185.220.123.107| 185.220.123.182| 185.220.123.224| 185.220.123.25| 185.220.123.254,LIMPIO,,0
185.220.124.0/24,185.220.124.1| 185.220.124.52| 185.220.124.131| 185.220.124.8| 185.220.124.190| 185.220.124.211| 185.220.124.168| 185.220.124.69| 185.220.124.212| 185.220.124.230| 185.220.124.124| 185.220.124.186| 185.220.124.138| 185.220.124.166| 185.220.124.254,LIMPIO,,0
185.220.125.0/24,185.220.125.1| 185.220.125.34| 185.220.125.125| 185.220.125.61| 185.220.125.140| 185.220.125.21| 185.220.125.197| 185.220.125.22| 185.220.125.227| 185.220.125.111| 185.220.125.59| 185.220.125.200| 185.220.125.65| 185.220.125.139| 185.220.125.254,LIMPIO,,0
185.220.126.0/24,185.220.126.1| 185.220.126.69| 185.220.126.134| 185.220.126.120| 185.220.126.32| 185.220.126.126| 185.220.126.43| 185.220.126.63| 185.220.126.246| 185.220.126.208| 185.220.126.240| 185.220.126.242| 185.220.126.236| 185.220.126.205| 185.220.126.254,LIMPIO,,0
185.220.127.0/24,185.220.127.1| 185.220.127.35| 185.220.127.184| 185.220.127.61| 185.220.127.62| 185.220.127.99| 185.220.127.24| 185.220.127.80| 185.220.127.194| 185.220.127.85| 185.220.127.174| 185.220.127.132| 185.220.127.37| 185.220.127.243| 185.220.127.254,LIMPIO,,0
